test	run1	run2	run3	verdict	cause
CreateDeviceTest.testCreateKeyDevice	PASS	PASS	PASS	stable-pass	
CreateDeviceTest.testCreateMouseDevice	PASS	PASS	PASS	stable-pass	
CreateDeviceTest.testCreateTouchDevice	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick1(TestTouchDevice)[10]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick1(TestTouchDevice)[11]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick1(TestTouchDevice)[12]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick1(TestTouchDevice)[13]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick1(TestTouchDevice)[14]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick1(TestTouchDevice)[15]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick1(TestTouchDevice)[1]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick1(TestTouchDevice)[2]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick1(TestTouchDevice)[3]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick1(TestTouchDevice)[4]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick1(TestTouchDevice)[5]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick1(TestTouchDevice)[6]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick1(TestTouchDevice)[7]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick1(TestTouchDevice)[8]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick1(TestTouchDevice)[9]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick2(TestTouchDevice)[10]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick2(TestTouchDevice)[11]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick2(TestTouchDevice)[12]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick2(TestTouchDevice)[13]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick2(TestTouchDevice)[14]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick2(TestTouchDevice)[15]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick2(TestTouchDevice)[1]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick2(TestTouchDevice)[2]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick2(TestTouchDevice)[3]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick2(TestTouchDevice)[4]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick2(TestTouchDevice)[5]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick2(TestTouchDevice)[6]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick2(TestTouchDevice)[7]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick2(TestTouchDevice)[8]	PASS	PASS	PASS	stable-pass	
DoubleClickTest.testDoubleClick2(TestTouchDevice)[9]	PASS	PASS	PASS	stable-pass	
DragAndDropTest.testDragOneNodeToAnother(TestTouchDevice)[10]	PASS	PASS	PASS	stable-pass	
DragAndDropTest.testDragOneNodeToAnother(TestTouchDevice)[11]	PASS	PASS	PASS	stable-pass	
DragAndDropTest.testDragOneNodeToAnother(TestTouchDevice)[12]	PASS	ERROR	PASS	flaky	com.sun.glass.ui.monocle.TestLogShim$TestLogAssertion: Timed out after 3001ms waiting for 'Drag detected on n1'
DragAndDropTest.testDragOneNodeToAnother(TestTouchDevice)[13]	PASS	PASS	PASS	stable-pass	
DragAndDropTest.testDragOneNodeToAnother(TestTouchDevice)[14]	PASS	PASS	PASS	stable-pass	
DragAndDropTest.testDragOneNodeToAnother(TestTouchDevice)[15]	PASS	PASS	PASS	stable-pass	
DragAndDropTest.testDragOneNodeToAnother(TestTouchDevice)[1]	PASS	PASS	PASS	stable-pass	
DragAndDropTest.testDragOneNodeToAnother(TestTouchDevice)[2]	PASS	PASS	PASS	stable-pass	
DragAndDropTest.testDragOneNodeToAnother(TestTouchDevice)[3]	PASS	PASS	PASS	stable-pass	
DragAndDropTest.testDragOneNodeToAnother(TestTouchDevice)[4]	PASS	PASS	PASS	stable-pass	
DragAndDropTest.testDragOneNodeToAnother(TestTouchDevice)[5]	PASS	PASS	PASS	stable-pass	
DragAndDropTest.testDragOneNodeToAnother(TestTouchDevice)[6]	PASS	PASS	PASS	stable-pass	
DragAndDropTest.testDragOneNodeToAnother(TestTouchDevice)[7]	PASS	PASS	PASS	stable-pass	
DragAndDropTest.testDragOneNodeToAnother(TestTouchDevice)[8]	PASS	PASS	PASS	stable-pass	
DragAndDropTest.testDragOneNodeToAnother(TestTouchDevice)[9]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.multiTouch_dragPointInandOutAwindow(TestTouchDevice)[10]	PASS	PASS	PASS	stable-pass	
DragTouchInAndOutAWindowTest.multiTouch_dragPointInandOutAwindow(TestTouchDevice)[11]	PASS	PASS	PASS	stable-pass	
