SYMBOL	RET	PARAMS	RET_LAYOUT	PARAM_LAYOUTS	TYPE	METHOD	THROWS	BUILT	FILE
wkj_dom_Attr_getName	int32_t	int64_t peer, uint16_t* result_buf, int32_t result_cap, int32_t* result_length	JAVA_INT	JAVA_LONG,ADDRESS,JAVA_INT,ADDRESS	Attr	getName	-	1	JavaAttr.cpp
wkj_dom_Attr_getSpecified	int32_t	int64_t peer	JAVA_INT	JAVA_LONG	Attr	getSpecified	-	1	JavaAttr.cpp
wkj_dom_Attr_getValue	int32_t	int64_t peer, uint16_t* result_buf, int32_t result_cap, int32_t* result_length	JAVA_INT	JAVA_LONG,ADDRESS,JAVA_INT,ADDRESS	Attr	getValue	-	1	JavaAttr.cpp
wkj_dom_Attr_setValue	void	int64_t peer, const uint16_t* value, int32_t value_length	void	JAVA_LONG,ADDRESS,JAVA_INT	Attr	setValue	-	1	JavaAttr.cpp
wkj_dom_Attr_getOwnerElement	int64_t	int64_t peer	JAVA_LONG	JAVA_LONG	Attr	getOwnerElement	-	1	JavaAttr.cpp
wkj_dom_Attr_isId	int32_t	int64_t peer	JAVA_INT	JAVA_LONG	Attr	isId	-	1	JavaAttr.cpp
wkj_dom_CSSCharsetRule_getEncoding	int32_t	int64_t arg0, uint16_t* result_buf, int32_t result_cap, int32_t* result_length	JAVA_INT	JAVA_LONG,ADDRESS,JAVA_INT,ADDRESS	CSSCharsetRule	getEncoding	-	1	JavaCSSCharsetRule.cpp
wkj_dom_CSSCharsetRule_setEncoding	void	int64_t arg0, const uint16_t* arg1, int32_t arg1_length	void	JAVA_LONG,ADDRESS,JAVA_INT	CSSCharsetRule	setEncoding	-	1	JavaCSSCharsetRule.cpp
wkj_dom_CSSFontFaceRule_getStyle	int64_t	int64_t peer	JAVA_LONG	JAVA_LONG	CSSFontFaceRule	getStyle	-	1	JavaCSSFontFaceRule.cpp
wkj_dom_CSSImportRule_getHref	int32_t	int64_t peer, uint16_t* result_buf, int32_t result_cap, int32_t* result_length	JAVA_INT	JAVA_LONG,ADDRESS,JAVA_INT,ADDRESS	CSSImportRule	getHref	-	1	JavaCSSImportRule.cpp
wkj_dom_CSSImportRule_getMedia	int64_t	int64_t peer	JAVA_LONG	JAVA_LONG	CSSImportRule	getMedia	-	1	JavaCSSImportRule.cpp
wkj_dom_CSSImportRule_getStyleSheet	int64_t	int64_t peer	JAVA_LONG	JAVA_LONG	CSSImportRule	getStyleSheet	-	1	JavaCSSImportRule.cpp
wkj_dom_CSSMediaRule_getMedia	int64_t	int64_t peer	JAVA_LONG	JAVA_LONG	CSSMediaRule	getMedia	-	1	JavaCSSMediaRule.cpp
wkj_dom_CSSMediaRule_getCssRules	int64_t	int64_t peer	JAVA_LONG	JAVA_LONG	CSSMediaRule	getCssRules	-	1	JavaCSSMediaRule.cpp
wkj_dom_CSSMediaRule_insertRule	int32_t	int64_t peer, const uint16_t* rule, int32_t rule_length, int32_t index	JAVA_INT	JAVA_LONG,ADDRESS,JAVA_INT,JAVA_INT	CSSMediaRule	insertRule	THROWS	1	JavaCSSMediaRule.cpp
wkj_dom_CSSMediaRule_deleteRule	void	int64_t peer, int32_t index	void	JAVA_LONG,JAVA_INT	CSSMediaRule	deleteRule	THROWS	1	JavaCSSMediaRule.cpp
wkj_dom_CSSPageRule_getSelectorText	int32_t	int64_t peer, uint16_t* result_buf, int32_t result_cap, int32_t* result_length	JAVA_INT	JAVA_LONG,ADDRESS,JAVA_INT,ADDRESS	CSSPageRule	getSelectorText	-	1	JavaCSSPageRule.cpp
wkj_dom_CSSPageRule_setSelectorText	void	int64_t peer, const uint16_t* value, int32_t value_length	void	JAVA_LONG,ADDRESS,JAVA_INT	CSSPageRule	setSelectorText	-	1	JavaCSSPageRule.cpp
wkj_dom_CSSPageRule_getStyle	int64_t	int64_t peer	JAVA_LONG	JAVA_LONG	CSSPageRule	getStyle	-	1	JavaCSSPageRule.cpp
wkj_dom_CSSPrimitiveValue_getPrimitiveType	int16_t	int64_t peer	JAVA_SHORT	JAVA_LONG	CSSPrimitiveValue	getPrimitiveType	-	1	JavaCSSPrimitiveValue.cpp
wkj_dom_CSSPrimitiveValue_setFloatValue	void	int64_t peer, int16_t unitType, float floatValue	void	JAVA_LONG,JAVA_SHORT,JAVA_FLOAT	CSSPrimitiveValue	setFloatValue	THROWS	1	JavaCSSPrimitiveValue.cpp
wkj_dom_CSSPrimitiveValue_getFloatValue	float	int64_t peer, int16_t unitType	JAVA_FLOAT	JAVA_LONG,JAVA_SHORT	CSSPrimitiveValue	getFloatValue	THROWS	1	JavaCSSPrimitiveValue.cpp
wkj_dom_CSSPrimitiveValue_setStringValue	void	int64_t peer, int16_t stringType, const uint16_t* stringValue, int32_t stringValue_length	void	JAVA_LONG,JAVA_SHORT,ADDRESS,JAVA_INT	CSSPrimitiveValue	setStringValue	THROWS	1	JavaCSSPrimitiveValue.cpp
wkj_dom_CSSPrimitiveValue_getStringValue	int32_t	int64_t peer, uint16_t* result_buf, int32_t result_cap, int32_t* result_length	JAVA_INT	JAVA_LONG,ADDRESS,JAVA_INT,ADDRESS	CSSPrimitiveValue	getStringValue	THROWS	1	JavaCSSPrimitiveValue.cpp
wkj_dom_CSSPrimitiveValue_getCounterValue	int64_t	int64_t peer	JAVA_LONG	JAVA_LONG	CSSPrimitiveValue	getCounterValue	THROWS	1	JavaCSSPrimitiveValue.cpp
wkj_dom_CSSPrimitiveValue_getRectValue	int64_t	int64_t peer	JAVA_LONG	JAVA_LONG	CSSPrimitiveValue	getRectValue	THROWS	1	JavaCSSPrimitiveValue.cpp
wkj_dom_CSSPrimitiveValue_getRGBColorValue	int64_t	int64_t peer	JAVA_LONG	JAVA_LONG	CSSPrimitiveValue	getRGBColorValue	THROWS	1	JavaCSSPrimitiveValue.cpp
wkj_dom_CSSRule_dispose	void	int64_t peer	void	JAVA_LONG	CSSRule	dispose	-	1	JavaCSSRule.cpp
wkj_dom_CSSRule_getType	int16_t	int64_t peer	JAVA_SHORT	JAVA_LONG	CSSRule	getType	-	1	JavaCSSRule.cpp
wkj_dom_CSSRule_getCssText	int32_t	int64_t peer, uint16_t* result_buf, int32_t result_cap, int32_t* result_length	JAVA_INT	JAVA_LONG,ADDRESS,JAVA_INT,ADDRESS	CSSRule	getCssText	-	1	JavaCSSRule.cpp
wkj_dom_CSSRule_setCssText	void	int64_t peer, const uint16_t* value, int32_t value_length	void	JAVA_LONG,ADDRESS,JAVA_INT	CSSRule	setCssText	-	1	JavaCSSRule.cpp
wkj_dom_CSSRule_getParentStyleSheet	int64_t	int64_t peer	JAVA_LONG	JAVA_LONG	CSSRule	getParentStyleSheet	-	1	JavaCSSRule.cpp
wkj_dom_CSSRule_getParentRule	int64_t	int64_t peer	JAVA_LONG	JAVA_LONG	CSSRule	getParentRule	-	1	JavaCSSRule.cpp
wkj_dom_CSSRuleList_dispose	void	int64_t peer	void	JAVA_LONG	CSSRuleList	dispose	-	1	JavaCSSRuleList.cpp
wkj_dom_CSSRuleList_getLength	int32_t	int64_t peer	JAVA_INT	JAVA_LONG	CSSRuleList	getLength	-	1	JavaCSSRuleList.cpp
wkj_dom_CSSRuleList_item	int64_t	int64_t peer, int32_t index	JAVA_LONG	JAVA_LONG,JAVA_INT	CSSRuleList	item	-	1	JavaCSSRuleList.cpp
wkj_dom_CSSStyleDeclaration_dispose	void	int64_t peer	void	JAVA_LONG	CSSStyleDeclaration	dispose	-	1	JavaCSSStyleDeclaration.cpp
wkj_dom_CSSStyleDeclaration_getCssText	int32_t	int64_t peer, uint16_t* result_buf, int32_t result_cap, int32_t* result_length	JAVA_INT	JAVA_LONG,ADDRESS,JAVA_INT,ADDRESS	CSSStyleDeclaration	getCssText	-	1	JavaCSSStyleDeclaration.cpp
wkj_dom_CSSStyleDeclaration_setCssText	void	int64_t peer, const uint16_t* value, int32_t value_length	void	JAVA_LONG,ADDRESS,JAVA_INT	CSSStyleDeclaration	setCssText	-	1	JavaCSSStyleDeclaration.cpp
wkj_dom_CSSStyleDeclaration_getLength	int32_t	int64_t peer	JAVA_INT	JAVA_LONG	CSSStyleDeclaration	getLength	-	1	JavaCSSStyleDeclaration.cpp
wkj_dom_CSSStyleDeclaration_getParentRule	int64_t	int64_t peer	JAVA_LONG	JAVA_LONG	CSSStyleDeclaration	getParentRule	-	1	JavaCSSStyleDeclaration.cpp
wkj_dom_CSSStyleDeclaration_getPropertyValue	int32_t	int64_t peer, const uint16_t* propertyName, int32_t propertyName_length, uint16_t* result_buf, int32_t result_cap, int32_t* result_length	JAVA_INT	JAVA_LONG,ADDRESS,JAVA_INT,ADDRESS,JAVA_INT,ADDRESS	CSSStyleDeclaration	getPropertyValue	-	1	JavaCSSStyleDeclaration.cpp
wkj_dom_CSSStyleDeclaration_getPropertyCSSValue	int64_t	int64_t peer, const uint16_t* propertyName, int32_t propertyName_length	JAVA_LONG	JAVA_LONG,ADDRESS,JAVA_INT	CSSStyleDeclaration	getPropertyCSSValue	-	1	JavaCSSStyleDeclaration.cpp
wkj_dom_CSSStyleDeclaration_removeProperty	int32_t	int64_t peer, const uint16_t* propertyName, int32_t propertyName_length, uint16_t* result_buf, int32_t result_cap, int32_t* result_length	JAVA_INT	JAVA_LONG,ADDRESS,JAVA_INT,ADDRESS,JAVA_INT,ADDRESS	CSSStyleDeclaration	removeProperty	THROWS	1	JavaCSSStyleDeclaration.cpp
wkj_dom_CSSStyleDeclaration_getPropertyPriority	int32_t	int64_t peer, const uint16_t* propertyName, int32_t propertyName_length, uint16_t* result_buf, int32_t result_cap, int32_t* result_length	JAVA_INT	JAVA_LONG,ADDRESS,JAVA_INT,ADDRESS,JAVA_INT,ADDRESS	CSSStyleDeclaration	getPropertyPriority	-	1	JavaCSSStyleDeclaration.cpp
wkj_dom_CSSStyleDeclaration_setProperty	void	int64_t peer, const uint16_t* propertyName, int32_t propertyName_length, const uint16_t* value, int32_t value_length, const uint16_t* priority, int32_t priority_length	void	JAVA_LONG,ADDRESS,JAVA_INT,ADDRESS,JAVA_INT,ADDRESS,JAVA_INT	CSSStyleDeclaration	setProperty	THROWS	1	JavaCSSStyleDeclaration.cpp
wkj_dom_CSSStyleDeclaration_item	int32_t	int64_t peer, int32_t index, uint16_t* result_buf, int32_t result_cap, int32_t* result_length	JAVA_INT	JAVA_LONG,JAVA_INT,ADDRESS,JAVA_INT,ADDRESS	CSSStyleDeclaration	item	-	1	JavaCSSStyleDeclaration.cpp
wkj_dom_CSSStyleDeclaration_getPropertyShorthand	int32_t	int64_t peer, const uint16_t* propertyName, int32_t propertyName_length, uint16_t* result_buf, int32_t result_cap, int32_t* result_length	JAVA_INT	JAVA_LONG,ADDRESS,JAVA_INT,ADDRESS,JAVA_INT,ADDRESS	CSSStyleDeclaration	getPropertyShorthand	-	1	JavaCSSStyleDeclaration.cpp
wkj_dom_CSSStyleDeclaration_isPropertyImplicit	int32_t	int64_t peer, const uint16_t* propertyName, int32_t propertyName_length	JAVA_INT	JAVA_LONG,ADDRESS,JAVA_INT	CSSStyleDeclaration	isPropertyImplicit	-	1	JavaCSSStyleDeclaration.cpp
wkj_dom_CSSStyleRule_getSelectorText	int32_t	int64_t peer, uint16_t* result_buf, int32_t result_cap, int32_t* result_length	JAVA_INT	JAVA_LONG,ADDRESS,JAVA_INT,ADDRESS	CSSStyleRule	getSelectorText	-	1	JavaCSSStyleRule.cpp
wkj_dom_CSSStyleRule_setSelectorText	void	int64_t peer, const uint16_t* value, int32_t value_length	void	JAVA_LONG,ADDRESS,JAVA_INT	CSSStyleRule	setSelectorText	-	1	JavaCSSStyleRule.cpp
wkj_dom_CSSStyleRule_getStyle	int64_t	int64_t peer	JAVA_LONG	JAVA_LONG	CSSStyleRule	getStyle	-	1	JavaCSSStyleRule.cpp
wkj_dom_CSSStyleSheet_getOwnerRule	int64_t	int64_t peer	JAVA_LONG	JAVA_LONG	CSSStyleSheet	getOwnerRule	-	1	JavaCSSStyleSheet.cpp
wkj_dom_CSSStyleSheet_getCssRules	int64_t	int64_t peer	JAVA_LONG	JAVA_LONG	CSSStyleSheet	getCssRules	-	1	JavaCSSStyleSheet.cpp
wkj_dom_CSSStyleSheet_getRules	int64_t	int64_t peer	JAVA_LONG	JAVA_LONG	CSSStyleSheet	getRules	-	1	JavaCSSStyleSheet.cpp
wkj_dom_CSSStyleSheet_insertRule	int32_t	int64_t peer, const uint16_t* rule, int32_t rule_length, int32_t index	JAVA_INT	JAVA_LONG,ADDRESS,JAVA_INT,JAVA_INT	CSSStyleSheet	insertRule	THROWS	1	JavaCSSStyleSheet.cpp
wkj_dom_CSSStyleSheet_deleteRule	void	int64_t peer, int32_t index	void	JAVA_LONG,JAVA_INT	CSSStyleSheet	deleteRule	THROWS	1	JavaCSSStyleSheet.cpp
wkj_dom_CSSStyleSheet_addRule	int32_t	int64_t peer, const uint16_t* selector, int32_t selector_length, const uint16_t* style, int32_t style_length, int32_t index	JAVA_INT	JAVA_LONG,ADDRESS,JAVA_INT,ADDRESS,JAVA_INT,JAVA_INT	CSSStyleSheet	addRule	THROWS	1	JavaCSSStyleSheet.cpp
wkj_dom_CSSStyleSheet_removeRule	void	int64_t peer, int32_t index	void	JAVA_LONG,JAVA_INT	CSSStyleSheet	removeRule	THROWS	1	JavaCSSStyleSheet.cpp
wkj_dom_CSSValue_dispose	void	int64_t peer	void	JAVA_LONG	CSSValue	dispose	-	1	JavaCSSValue.cpp
wkj_dom_CSSValue_getCssText	int32_t	int64_t peer, uint16_t* result_buf, int32_t result_cap, int32_t* result_length	JAVA_INT	JAVA_LONG,ADDRESS,JAVA_INT,ADDRESS	CSSValue	getCssText	-	1	JavaCSSValue.cpp
wkj_dom_CSSValue_setCssText	void	int64_t peer, const uint16_t* value, int32_t value_length	void	JAVA_LONG,ADDRESS,JAVA_INT	CSSValue	setCssText	-	1	JavaCSSValue.cpp
wkj_dom_CSSValue_getCssValueType	int16_t	int64_t peer	JAVA_SHORT	JAVA_LONG	CSSValue	getCssValueType	-	1	JavaCSSValue.cpp
wkj_dom_CSSValueList_getLength	int32_t	int64_t peer	JAVA_INT	JAVA_LONG	CSSValueList	getLength	-	1	JavaCSSValueList.cpp
wkj_dom_CSSValueList_item	int64_t	int64_t peer, int32_t index	JAVA_LONG	JAVA_LONG,JAVA_INT	CSSValueList	item	-	1	JavaCSSValueList.cpp
wkj_dom_CharacterData_getData	int32_t	int64_t peer, uint16_t* result_buf, int32_t result_cap, int32_t* result_length	JAVA_INT	JAVA_LONG,ADDRESS,JAVA_INT,ADDRESS	CharacterData	getData	-	1	JavaCharacterData.cpp
wkj_dom_CharacterData_setData	void	int64_t peer, const uint16_t* value, int32_t value_length	void	JAVA_LONG,ADDRESS,JAVA_INT	CharacterData	setData	-	1	JavaCharacterData.cpp
wkj_dom_CharacterData_getLength	int32_t	int64_t peer	JAVA_INT	JAVA_LONG	CharacterData	getLength	-	1	JavaCharacterData.cpp
wkj_dom_CharacterData_getPreviousElementSibling	int64_t	int64_t peer	JAVA_LONG	JAVA_LONG	CharacterData	getPreviousElementSibling	-	1	JavaCharacterData.cpp
wkj_dom_CharacterData_getNextElementSibling	int64_t	int64_t peer	JAVA_LONG	JAVA_LONG	CharacterData	getNextElementSibling	-	1	JavaCharacterData.cpp
wkj_dom_CharacterData_substringData	int32_t	int64_t peer, int32_t offset, int32_t length, uint16_t* result_buf, int32_t result_cap, int32_t* result_length	JAVA_INT	JAVA_LONG,JAVA_INT,JAVA_INT,ADDRESS,JAVA_INT,ADDRESS	CharacterData	substringData	THROWS	1	JavaCharacterData.cpp
